Request ID,Unnamed: 0,Branch or Department,Created Date,Resolved Date,Last Update Time,DueBy Date,Completed Date,Requester,Technician,Priority,Status
16726,3465,f87e3ca8d105d33d11df6610ff234747d0e4c1bc583ab789bf0fcc207f4ff615,"Oct 7, 2020 11:59 AM","Oct 16, 2020 08:50 AM","Oct 16, 2020 08:50 AM","Oct 7, 2020 12:59 PM","Oct 16, 2020 08:50 AM",535ca60171a9aab66df834d5994c4f89ac13012f0a84827fa4874bd8ea8c61a9,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16728,3464,70c4e9e6d60f765bdd3853c5f27a820b84dc7e6e0bcf603ba46fe09390414065,"Oct 8, 2020 09:46 AM","Oct 8, 2020 01:02 PM","Oct 8, 2020 01:02 PM",-,"Oct 8, 2020 01:02 PM",3f2691b13b92cb382abdf7eb5f6a63832cc43273a9d20f1f96e7993555cdb9c8,41b30f29e1549ba7c22f904aed1ba3c69644cb17692d02da6399e0cc47ca4482,-,Closed
16729,3463,76ff7e1c85f18cb6b958cb29688f497f1effec2852d3ff499b4c23d7eb52ec31,"Oct 8, 2020 10:49 AM","Oct 9, 2020 09:05 AM","Oct 9, 2020 09:05 AM","Oct 8, 2020 11:49 AM","Oct 9, 2020 09:05 AM",611846924b90b96d1158933f1d7941e02a84fe3d9fbb3d7cce49655dc8335ee9,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16730,3462,70c4e9e6d60f765bdd3853c5f27a820b84dc7e6e0bcf603ba46fe09390414065,"Oct 8, 2020 11:19 AM","Oct 26, 2020 10:31 AM","Oct 26, 2020 10:31 AM","Oct 8, 2020 03:19 PM","Oct 26, 2020 10:31 AM",d060e048cf9de1f42111c29b405b65d0c0ddb73e1aa2f446cc544be43fc649bc,8a969d28ab6e9f8fe017fd88f916e8be34a57cc3346529259723dac3663b7c19,Normal,Closed
16731,3461,35a72ed1220ed089600050685d365786bd1c980c1abd51165ebee7915b2194cd,"Oct 8, 2020 12:30 PM","Oct 22, 2020 11:00 AM","Oct 22, 2020 11:00 AM",-,"Oct 22, 2020 11:00 AM",1e62cd4af4296fb57725ab2de22f028f944091fda27b8ef00ba46d4421787963,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16732,3460,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 8, 2020 12:31 PM","Oct 12, 2020 01:34 PM","Oct 12, 2020 01:34 PM","Oct 8, 2020 02:31 PM","Oct 12, 2020 01:34 PM",853f69a5cc648f51f490eb66f668f82038153c196c610c723c8f587c8b4c757b,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16734,3459,23b710b601e235e1823d4c41d7da9f2aeb7a197b16e26fcc6a0245da2482b443,"Oct 9, 2020 09:49 AM","Oct 9, 2020 02:07 PM","Oct 9, 2020 02:07 PM",-,"Oct 9, 2020 02:07 PM",8f3da6b897b27e33f09e188f55aa03ab1b34d0a9a246331e7089e028f2f82afa,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16735,3458,23b710b601e235e1823d4c41d7da9f2aeb7a197b16e26fcc6a0245da2482b443,"Oct 9, 2020 09:52 AM","Nov 12, 2020 10:16 AM","Nov 12, 2020 10:16 AM",-,"Nov 12, 2020 10:16 AM",8f3da6b897b27e33f09e188f55aa03ab1b34d0a9a246331e7089e028f2f82afa,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16736,3457,28fb770b9d42844d3dd3da5018fde0614b13e29405d65fe39414e306d9584cfa,"Oct 9, 2020 03:06 PM","Oct 15, 2020 09:07 AM","Oct 15, 2020 09:07 AM","Oct 9, 2020 07:06 PM","Oct 15, 2020 09:07 AM",1d24ebf4f11e65d0396a8f6a051b9323fffb0af9d1ad0c0993e0a80523386c7b,6a61d283bedbc2ab1d446dca7ecfda51ba5650c69988bdedc064f1352bcfce64,Normal,Closed
16737,3456,822f819f9a68017f4a79ae107bc8be0c0efc4e2e46ecc785126958f127f123e5,"Oct 9, 2020 03:48 PM","Nov 4, 2020 08:22 AM","Nov 4, 2020 08:22 AM","Oct 9, 2020 04:48 PM","Nov 4, 2020 08:22 AM",9aa90aa54743ea28e0f15eab6ffbc479848931736ce53348a4996d7d0aec0ff2,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16738,3455,915edf6fa6e1c9ed512729dce7441ea3cada663f3a353c7be63344f5f5e72819,"Oct 9, 2020 04:01 PM","Oct 20, 2020 10:39 AM","Oct 20, 2020 10:39 AM","Oct 9, 2020 08:01 PM","Oct 20, 2020 10:39 AM",e50ae0bb1881fcfdb99ac071a827396f75df59b00a46d584e9d6b9cc729e29fb,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Normal,Closed
16739,3454,76ff7e1c85f18cb6b958cb29688f497f1effec2852d3ff499b4c23d7eb52ec31,"Oct 10, 2020 11:25 AM","Oct 22, 2020 11:34 AM","Oct 22, 2020 11:34 AM","Oct 10, 2020 07:25 PM","Oct 22, 2020 11:34 AM",56cfa0e7f634b7196af308803f6c8520896bca32a349bf4026918dc1329694fe,e3fd25a60e34b047093fc18f0a8c48fb00b1596ddef09d1c64d980c18b928c66,Low,Closed
16740,3453,befb892ca9f37720678e3a8329d18bd801790c69cf0ec436c7f2168938801401,"Oct 10, 2020 02:40 PM","Oct 15, 2020 10:22 AM","Oct 15, 2020 10:22 AM","Oct 10, 2020 04:40 PM","Oct 15, 2020 10:22 AM",a6aa1bd8b02cd4eb47fcf1c6a222d71e6885f956c2f750f4060fe5abcf77f054,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16741,3452,70c4e9e6d60f765bdd3853c5f27a820b84dc7e6e0bcf603ba46fe09390414065,"Oct 12, 2020 12:33 PM","Oct 22, 2020 11:43 AM","Oct 22, 2020 11:43 AM","Oct 12, 2020 04:33 PM","Oct 22, 2020 11:43 AM",bd67c161360535935be596e7897ddd9cbb100c5f4d7b0800e1c2a27a48ec0959,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Normal,Closed
16742,3451,23b710b601e235e1823d4c41d7da9f2aeb7a197b16e26fcc6a0245da2482b443,"Oct 12, 2020 05:22 PM","Oct 13, 2020 02:38 PM","Oct 13, 2020 02:38 PM","Oct 12, 2020 07:22 PM","Oct 13, 2020 02:38 PM",ae6d025b9514488c0e62ce226c72ba7caaf9473af359be0e44c03bff6910fc43,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16743,3450,befb892ca9f37720678e3a8329d18bd801790c69cf0ec436c7f2168938801401,"Oct 12, 2020 06:43 PM","Dec 7, 2020 10:49 AM","Dec 7, 2020 10:49 AM","Oct 12, 2020 07:43 PM","Dec 7, 2020 10:49 AM",7b4032515c8d30d1c7794fd1a8ec999ce8b09ecd500261019f1b756f673b5699,dc3ae4a216c2ad6edb926fc99964b11a03006b5c88f20e5872a6b7f8181e6283,High,Closed
16744,3449,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 12, 2020 07:07 PM","Oct 14, 2020 12:53 PM","Oct 14, 2020 12:53 PM","Oct 12, 2020 09:07 PM","Oct 14, 2020 12:53 PM",9a8fcbfc8bc016e7085f6927f5d961292634602780c44f0274ead5164d166fc1,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16745,3448,20c184af6b847b6db63e9507efd3891df88a6981c9d89b1c4ce0c90b86d17264,"Oct 13, 2020 12:45 PM","Oct 16, 2020 10:39 AM","Oct 16, 2020 10:39 AM","Oct 13, 2020 02:45 PM","Oct 16, 2020 10:39 AM",cf2ddb22d5282f412f61537a33f24008dc350c449b17eeac4af03fad3f404ec8,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16746,3447,70c4e9e6d60f765bdd3853c5f27a820b84dc7e6e0bcf603ba46fe09390414065,"Oct 13, 2020 12:48 PM","Oct 20, 2020 01:21 PM","Oct 20, 2020 01:21 PM",-,"Oct 20, 2020 01:21 PM",c1267360cbd69ee943e008dd47d7bb2a52a3fdfc908cff7d8bfd72d1af90bc40,8a969d28ab6e9f8fe017fd88f916e8be34a57cc3346529259723dac3663b7c19,-,Closed
16747,3446,b44f639eb862790029a63aa2cd4222cffe20c71b9c5e4e8657f53b6cf295d4ab,"Oct 13, 2020 03:08 PM","Oct 16, 2020 01:30 PM","Oct 16, 2020 01:30 PM","Oct 13, 2020 05:08 PM","Oct 16, 2020 01:30 PM",6c1dd3efe3270bcb74f9f77e7c3881236cde086cec6affe0b4cb92e52ce5b586,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16748,3445,befb892ca9f37720678e3a8329d18bd801790c69cf0ec436c7f2168938801401,"Oct 13, 2020 04:10 PM","Oct 15, 2020 10:38 AM","Oct 15, 2020 10:38 AM","Oct 13, 2020 06:10 PM","Oct 15, 2020 10:38 AM",8a2d84b24710420dae00792a85e9e95d92c3c82580a8a0cdc2c00d482bd2a80f,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Medium,Closed
16749,3444,befb892ca9f37720678e3a8329d18bd801790c69cf0ec436c7f2168938801401,"Oct 13, 2020 04:10 PM","Oct 15, 2020 08:27 AM","Oct 15, 2020 08:27 AM","Oct 13, 2020 05:10 PM","Oct 15, 2020 08:27 AM",a6aa1bd8b02cd4eb47fcf1c6a222d71e6885f956c2f750f4060fe5abcf77f054,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16750,3443,436921cf5e22bc9fce9ad37f9071252f85510571e46dea6604bfcc0f7859744f,"Oct 13, 2020 06:12 PM","Oct 14, 2020 01:06 PM","Oct 14, 2020 01:06 PM","Oct 13, 2020 07:12 PM","Oct 14, 2020 01:06 PM",9d5a0a86344c437d6ad6e3cad48e0a2356e74bedea46b598d13a1ed0058221d5,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16751,3442,4743adc66005f7d5ce293e58be771d57a3efe1d3935b351cb072a606702675c0,"Oct 14, 2020 09:47 AM","Nov 23, 2020 02:23 PM","Nov 23, 2020 02:23 PM","Oct 14, 2020 10:47 AM","Nov 23, 2020 02:23 PM",cd0b58c986d428f9852bf70c8c634917af9e5e261e10170bd707c6a05786867a,41b30f29e1549ba7c22f904aed1ba3c69644cb17692d02da6399e0cc47ca4482,High,Closed
16752,3441,51bbcebde7faf7f1546bdfe38768c83f5e5e1853450b67614bdf4c30125bbe14,"Oct 14, 2020 10:49 AM","Oct 14, 2020 02:54 PM","Oct 14, 2020 02:54 PM",-,"Oct 14, 2020 02:54 PM",0d8e4adc9dec3a44017c3eedd0017bcd32470d634c830efb775d6447b03f920a,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16753,3440,bd414091044ef50140b55a7f67a70128af0f9ab1aa23e9139d54b71354e6a831,"Oct 14, 2020 01:49 PM","Nov 24, 2020 01:55 PM","Nov 24, 2020 01:55 PM","Oct 14, 2020 02:49 PM","Nov 24, 2020 01:55 PM",d5a9ad8adb1878c2d12a00119b878e63b5bfd5ae69176f03a4d8385e62454ea8,6a61d283bedbc2ab1d446dca7ecfda51ba5650c69988bdedc064f1352bcfce64,High,Closed
16754,3439,222a36f3f602dee0e8a6530f95d1a732622d11631fb1964034ed07f013dcc4f0,"Oct 14, 2020 01:50 PM","Nov 10, 2020 08:52 AM","Nov 10, 2020 08:52 AM","Oct 14, 2020 05:50 PM","Nov 10, 2020 08:52 AM",e11001e4a826d9c85c68beb5d50ead523515111ac2faa8b369734723ec349347,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,Normal,Closed
16755,3438,20c184af6b847b6db63e9507efd3891df88a6981c9d89b1c4ce0c90b86d17264,"Oct 14, 2020 02:37 PM","Nov 10, 2020 01:42 PM","Nov 10, 2020 01:42 PM",-,"Nov 10, 2020 01:42 PM",989ec90cd93d47ac0888b7f1b6a4c087657e8531fd906765a91deb3aa0688347,4b1a60bf862d9b7ab7458fe157ed592a5239a0bed7e26ce8a9426a5314948add,-,Closed
16756,3437,01f0f6ee06d8298a4c0fdd80a2492114bf93c3c9295f6af6e13d816194da9a6c,"Oct 14, 2020 04:01 PM","Oct 21, 2020 01:58 PM","Oct 21, 2020 01:58 PM","Oct 14, 2020 05:01 PM","Oct 21, 2020 01:58 PM",87a4495e0148e6e63ddd42559ca3dc3b687b61a6b59e1c463e0f8936727b350d,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,High,Closed
16758,3436,822f819f9a68017f4a79ae107bc8be0c0efc4e2e46ecc785126958f127f123e5,"Oct 14, 2020 05:01 PM","Nov 12, 2020 10:14 AM","Nov 12, 2020 10:14 AM",-,"Nov 12, 2020 10:14 AM",fc3753c9522910da905a3ebab843b9951825268aecbac290083efdb26c2bc7af,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
16760,3435,bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,"Oct 14, 2020 07:16 PM","Nov 20, 2020 08:25 AM","Nov 20, 2020 08:25 AM","Oct 14, 2020 09:16 PM","Nov 20, 2020 08:25 AM",31c36879c085c850f60eb6e3223f8c9b107c4d6a1d73ddd302b9eeb89eb7b0ca,dc3ae4a216c2ad6edb926fc99964b11a03006b5c88f20e5872a6b7f8181e6283,Medium,Closed
